AND	A N D |
APOSTROPHE	A P O S T R O P H E |
APRIL	A P R I L |
AR	A R |
AREA	A R E A |
AUGUST	A U G U S T |
AY	A Y |
AYCH	A Y C H |
BEE	B E E |
CODE	C O D E |
CUE	C U E |
DECEMBER	D E C E M B E R |
DEE	D E E |
DOUBLE	D O U B L E |
EE	E E |
EFF	E F F |
EIGHT	E I G H T |
EIGHTEEN	E I G H T E E N |
EIGHTEENTH	E I G H T E E N T H |
EIGHTH	E I G H T H |
EIGHTY	E I G H T Y |
EL	E L |
ELEVEN	E L E V E N |
ELEVENTH	E L E V E N T H |
EM	E M |
EN	E N |
ENTER	E N T E R |
ERASE	E R A S E |
ESS	E S S |
EX	E X |
EYE	E Y E |
FEBRUARY	F E B R U A R Y |
FIFTEEN	F I F T E E N |
FIFTEENTH	F I F T E E N T H |
FIFTH	F I F T H |
FIFTY	F I F T Y |
FIRST	F I R S T |
FIVE	F I V E |
FORTY	F O R T Y |
FOUR	F O U R |
FOURTEEN	F O U R T E E N |
FOURTH	F O U R T H |
GEE	G E E |
GO	G O |
HALF	H A L F |
HELP	H E L P |
HUNDRED	H U N D R E D |
JANUARY	J A N U A R Y |
JAY	J A Y |
JULY	J U L Y |
JUNE	J U N E |
KAY	K A Y |
MARCH	M A R C H |
MAY	M A Y |
NINE	N I N E |
NINETEEN	N I N E T E E N |
NINETY	N I N E T Y |
NINTH	N I N T H |
NO	N O |
OCTOBER	O C T O B E R |
OF	O F |
OH	O H |
ONE	O N E |
PEE	P E E |
REPEAT	R E P E A T |
RUBOUT	R U B O U T |
SECOND	S E C O N D |
SEE	S E E |
SEPTEMBER	S E P T E M B E R |
SEVEN	S E V E N |
SEVENTEEN	S E V E N T E E N |
SEVENTH	S E V E N T H |
SEVENTY	S E V E N T Y |
SIX	S I X |
SIXTEEN	S I X T E E N |
SIXTEENTH	S I X T E E N T H |
SIXTH	S I X T H |
SIXTY	S I X T Y |
START	S T A R T |
STOP	S T O P |
TEE	T E E |
TEN	T E N |
THIRD	T H I R D |
THIRTIETH	T H I R T I E T H |
THIRTY	T H I R T Y |
THOUSAND	T H O U S A N D |
THREE	T H R E E |
TWELFTH	T W E L F T H |
TWELVE	T W E L V E |
TWENTY	T W E N T Y |
TWO	T W O |
VEE	V E E |
WHY	W H Y |
YES	Y E S |
YOU	Y O U |
ZEE	Z E E |
ZERO	Z E R O |
