aɪ	a ɪ |
biː	b i ː |
diː	d i ː |
dʌbəljuː	d ʌ b ə l j u ː |
dʒeɪ	d ʒ e ɪ |
dʒiː	d ʒ i ː |
dʒuːlaɪ	d ʒ u ː l a ɪ |
dʒuːn	d ʒ u ː n |
dʒænjuːɛɹi	d ʒ æ n j u ː ɛ ɹ i |
dᵻsɛmbɚɹ	d ᵻ s ɛ m b ɚ ɹ |
eɪ	e ɪ |
eɪpɹəl	e ɪ p ɹ ə l |
eɪt	e ɪ t |
eɪtiːn	e ɪ t i ː n |
eɪtiːnθ	e ɪ t i ː n θ |
eɪtʃ	e ɪ t ʃ |
eɪtθ	e ɪ t θ |
eɪɾi	e ɪ ɾ i |
faɪv	f a ɪ v |
foːɹ	f o ː ɹ |
foːɹtiːn	f o ː ɹ t i ː n |
foːɹθ	f o ː ɹ θ |
fɔːɹɾi	f ɔ ː ɹ ɾ i |
fɛbɹuːɛɹi	f ɛ b ɹ u ː ɛ ɹ i |
fɜːst	f ɜ ː s t |
fɪfti	f ɪ f t i |
fɪftiːn	f ɪ f t i ː n |
fɪftiːnθ	f ɪ f t i ː n θ |
fɪfθ	f ɪ f θ |
hæf	h æ f |
hɛlp	h ɛ l p |
hʌndɹɪd	h ʌ n d ɹ ɪ d |
iː	i ː |
juː	j u ː |
jɛs	j ɛ s |
keɪ	k e ɪ |
kjuː	k j u ː |
koʊd	k o ʊ d |
meɪ	m e ɪ |
mɑːɹtʃ	m ɑ ː ɹ t ʃ |
naɪn	n a ɪ n |
naɪnti	n a ɪ n t i |
naɪntiːn	n a ɪ n t i ː n |
naɪnθ	n a ɪ n θ |
noʊ	n o ʊ |
oʊ	o ʊ |
piː	p i ː |
siː	s i ː |
stɑːp	s t ɑ ː p |
stɑːɹt	s t ɑ ː ɹ t |
sɛkənd	s ɛ k ə n d |
sɛptɛmbɚ	s ɛ p t ɛ m b ɚ |
sɛvən	s ɛ v ə n |
sɛvənti	s ɛ v ə n t i |
sɛvəntiːn	s ɛ v ə n t i ː n |
sɛvənθ	s ɛ v ə n θ |
sɪks	s ɪ k s |
sɪksti	s ɪ k s t i |
sɪkstiːn	s ɪ k s t i ː n |
sɪkstiːnθ	s ɪ k s t i ː n θ |
sɪksθ	s ɪ k s θ |
tiː	t i ː |
tuː	t u ː |
twɛlfθ	t w ɛ l f θ |
twɛlv	t w ɛ l v |
twɛnti	t w ɛ n t i |
tɛn	t ɛ n |
viː	v i ː |
waɪ	w a ɪ |
wʌn	w ʌ n |
ziəɹoʊ	z i ə ɹ o ʊ |
ziː	z i ː |
ænd	æ n d |
ɐ	ɐ |
ɐpɔstɹəfi	ɐ p ɔ s t ɹ ə f i |
ɑːktoʊbɚ	ɑ ː k t o ʊ b ɚ |
ɑːɹ	ɑ ː ɹ |
ɔːɡəst	ɔ ː ɡ ə s t |
ɛf	ɛ f |
ɛks	ɛ k s |
ɛl	ɛ l |
ɛm	ɛ m |
ɛn	ɛ n |
ɛntɚ	ɛ n t ɚ |
ɛntɚɹ	ɛ n t ɚ ɹ |
ɛs	ɛ s |
ɛɹiə	ɛ ɹ i ə |
ɡoʊ	ɡ o ʊ |
ɹuːbaʊt	ɹ u ː b a ʊ t |
ɹᵻpiːt	ɹ ᵻ p i ː t |
ʌv	ʌ v |
θaʊzənd	θ a ʊ z ə n d |
θɜːd	θ ɜ ː d |
θɜːɾi	θ ɜ ː ɾ i |
θɜːɾiəθ	θ ɜ ː ɾ i ə θ |
θɹiː	θ ɹ i ː |
ᵻlɛvən	ᵻ l ɛ v ə n |
ᵻlɛvənθ	ᵻ l ɛ v ə n θ |
ᵻɹeɪs	ᵻ ɹ e ɪ s |
